Landcovertype,Plot,Tree_species,Tree_n_per_plot,SOC(%),SOC_stock,TN(%),TN_Stock,AP(mg_kg),AP(%),AP_Stock,C_N_Ratio,C_AP_Ratio,pH_field,Cumulative_AGB_Plot,Cumulative_AGB_Plot_Ha,Average_DBH,Average_cumulative,Hill_Side,Lat_ID,Long_ID,Unknown,Acacia mangium,Cocos nucifera,Acacia auriculiformis,Mallotus mollissimus ,Musa spp.,Trema orientalis,Homalanthus populneus,Ficus nota ,Macaranga tanarius (Linn.),Radermachera pinnata,Artocarpus blancoi,Hibiscus tiliaceus,Ficus congesta,Ficus heteropoda,Artocarpus nitidus (A. lamellosus) ,Gmelina Arborea,Pterocymbium tinctorium,Commersonia bartramina (L.) Merr.,Ficus latsoni,Leucyosyke capitellata,Dendrocnide meyeniana,Pipturus arborescens,Psydrax dicoccos Gaertn.,Vitex quinate,Alstonia scholaris,Breynia vitis-idaea,Leucaena leucocephala,Ficus pseudopalma,Myristica philippinensis,Sindora Supa,Cinnamomum mercadoi,Caryota rumphiana,Lithocarpus celebicus,Diplodiscus paniculatus,Diospyros blancoiA. DC.,Shorea contorta,Ficus variegata,Calophyllum blancoi,Morinda citrifolia,Glochidion camiguinense ,Polyscias nodosa ,Cratoxylum sumatranum,Angiopteris evecta ,Fagrea racemosa ,Mallotus philippensis,Garcinia ituman,Ficus balete,Leea aculeata,Ficus ulmifolia,Calamus rotang,Tabernaemontana pandacaqui,Flueggea flexuosa,Sandoricum vidalii ,Syzigium huchinsonii,Cananga odorata,
Grassland,G3SB,1,1,3.607688084,33.93988068,0.246,2.314,5.93,0.00059,0.00558,14.67,6083.79,5,0.643119398,16.07798495,34.6,16.07798495,S,HIDED,HIDED,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2 years old,E1SB,1,1,3.729295819,35.08392416,0.249,2.343,4.4,0.00044,0.00414,14.98,8475.67,5.5,0.005003426,0.125085649,5.7,0.881837795,S,HIDED,HIDED,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2 years old,E2NB,1,6,4.115274764,38.71508046,0.297,2.794,6.4,0.00064,0.00602,13.86,6430.12,6.033333333,0.051164004,1.279100098,6.683333333,,N,HIDED,HIDED,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2 years old,E3SB,0,0,4.108091849,38.64750608,0.291,2.738,7.12,0.00071,0.0067,14.12,5769.79,6.266666667,0,0,0,,S,HIDED,HIDED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2 years old,E4NB,3,6,5.903939341,55.54221765,0.285,2.681,6.13,0.00061,0.00577,20.72,9631.22,5.066666667,0.084926617,2.123165433,6.35,,N,HIDED,HIDED,0,37.29241819,54.28796212,8.419619688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100
10 years old,I1SB,4,18,5.966647204,56.13215152,0.344,3.236,8.04,0.0008,0.00756,17.34,7421.2,6.133333333,7.253546953,181.3386738,24.02777778,188.098434,S,HIDED,HIDED,0,94.62511605,5.183660883,0,0.14517835,0,0.046044713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10 years old,I2NB,6,24,6.42705068,60.46346805,0.418,3.932,12.02,0.0012,0.01131,15.38,5346.96,5.566666667,6.726599787,168.1649947,18.67916667,,N,HIDED,HIDED,0,98.02627192,0,0,0,0,0,0.115976997,0.632543099,0.524048591,0.617022684,0.084136712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10 years old,I3SB,6,31,5.480894319,51.56235652,0.305,2.869,7.62,0.00076,0.00717,17.97,7192.77,5.666666667,6.616489475,165.4122369,16.30645161,,S,HIDED,HIDED,0,78.33630072,8.175909921,0,0,0,0,0,0,4.267496766,0,0,8.895609916,0.324682689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
10 years old,I4NB,5,23,6.736922626,63.37863605,0.48,4.516,11.83,0.00118,0.01113,14.04,5694.78,6.4,9.499113229,237.4778307,23.28695652,,N,HIDED,HIDED,0,97.26755001,0,0,0,0,0,0.052651798,1.316569578,0.766775404,0,0,0,0,0.596453207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
24 years old,O1SB,8,21,7.305275978,68.72550765,0.329,3.095,21.38,0.00214,0.02011,22.2,3416.87,6.833333333,13.71081625,342.7704062,25.2,178.4796441,S,HIDED,HIDED,0,66.52224752,0,0,0,0,0,0.136867441,0.058396275,0,0,0,0,0,0,0.06612656,32.1807786,0.407284568,0.628299031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
