Landcovertype,Plot,Tree_species,Tree_n_per_plot,SOC(%),SOC_stock,TN(%),TN_Stock,AP(mg_kg),AP(%),AP_Stock,C_N_Ratio,C_AP_Ratio,pH_field,Cumulative_AGB_Plot,Dead trees biomass (tonnes),Cumulative_AGB_Plot_NoDeadTree,Cumulative_AGB_Plot_Ha,Cumulative_AGB_Plot_Ha_NoDeadTrees,Average,STD,Average_DBH,Average_cumulative,Hill_Side,Lat_ID,Long_ID
Grassland,G3SB,1,1,3.607688084,33.93988068,0.246,2.314,5.93,0.00059,0.00558,14.67,6083.79,5,0.643119398,0,0.643119398,16.07798495,16.07798495,,,34.6,16.07798495,S,HIDED,HIDED
2 years old,E1SB,1,1,3.729295819,35.08392416,0.249,2.343,4.4,0.00044,0.00414,14.98,8475.67,5.5,0.005003426,0,0.005003426,0.125085649,0.12508565,0.9,1,5.7,0.881837795,S,HIDED,HIDED
2 years old,E2NB,1,6,4.115274764,38.71508046,0.297,2.794,6.4,0.00064,0.00602,13.86,6430.12,6.033333333,0.051164004,0,0.051164004,1.279100098,1.2791001,,,6.683333333,,N,HIDED,HIDED
2 years old,E3SB,0,0,4.108091849,38.64750608,0.291,2.738,7.12,0.00071,0.0067,14.12,5769.79,6.266666667,0,0,0,0,0,,,0,,S,HIDED,HIDED
2 years old,E4NB,3,6,5.903939341,55.54221765,0.285,2.681,6.13,0.00061,0.00577,20.72,9631.22,5.066666667,0.084926617,0,0.084926617,2.123165433,2.123165425,,,6.35,,N,HIDED,HIDED
10 years old,I1SB,4,18,5.966647204,56.13215152,0.344,3.236,8.04,0.0008,0.00756,17.34,7421.2,6.133333333,7.253546953,0.145567401,7.107979552,181.3386738,177.6994888,183.2,36.7,24.02777778,188.098434,S,HIDED,HIDED
10 years old,I2NB,6,24,6.42705068,60.46346805,0.418,3.932,12.02,0.0012,0.01131,15.38,5346.96,5.566666667,6.726599787,0.572963868,6.153635919,168.1649947,153.840898,,,18.67916667,,N,HIDED,HIDED
10 years old,I3SB,6,31,5.480894319,51.56235652,0.305,2.869,7.62,0.00076,0.00717,17.97,7192.77,5.666666667,6.616489475,0.019877878,6.596611597,165.4122369,164.9152899,,,16.30645161,,S,HIDED,HIDED
10 years old,I4NB,5,23,6.736922626,63.37863605,0.48,4.516,11.83,0.00118,0.01113,14.04,5694.78,6.4,9.499113229,0.050556261,9.448556968,237.4778307,236.2139242,,,23.28695652,,N,HIDED,HIDED
24 years old,O1SB,8,21,7.305275978,68.72550765,0.329,3.095,21.38,0.00214,0.02011,22.2,3416.87,6.833333333,13.71081625,1.222644797,12.48817145,342.7704062,312.2042863,138.1,117.4,25.2,178.4796441,S,HIDED,HIDED
24 years old,O2NB,9,47,6.617827817,62.25823332,0.501,4.713,5.92,0.00059,0.00557,13.21,11178.76,6.233333333,4.402176097,0.254440868,4.147735229,110.0544024,103.6933807,,,11.97083333,,N,HIDED,HIDED
24 years old,O3SB,13,43,5.928751579,55.7756426,0.365,3.434,14.72,0.00147,0.01385,16.24,4027.68,6.266666667,6.281874012,3.80703096,2.474843052,157.0468503,61.87107631,,,10.31395349,,S,HIDED,HIDED
24 years old,O4NB,10,29,6.331842158,59.56777923,0.427,4.017,9.49,0.00095,0.00893,14.83,6672.12,5.033333333,4.161876694,1.177803199,2.984073495,104.0469174,74.60183738,,,14.7862069,,N,HIDED,HIDED
Remnant,R1SB,19,63,6.633011734,62.40107835,0.415,3.904,13.71,0.00137,0.0129,15.98,4838.08,6,7.657069907,0,7.657069907,191.4267477,191.4267477,118.2,67.8,13.08953846,118.2523097,S,HIDED,HIDED
Remnant,R2NB,16,41,6.751138987,63.51237866,0.469,4.412,11.51,0.00115,0.01083,14.39,5865.46,5.266666667,1.243774097,0,1.243774097,31.09435243,31.09435243,,,9.848780488,,N,HIDED,HIDED
Remnant,R3SB,12,19,6.307212603,59.3360729,0.374,3.518,12.36,0.00124,0.01163,16.86,5102.92,6.566666667,5.792775103,0.007239813,5.78553529,144.8193776,144.6383822,,,15.465,,S,HIDED,HIDED
Remnant,R4NB,19,41,6.454464615,60.72136886,0.374,3.518,15.83,0.00158,0.01489,17.26,4077.36,5.433333333,4.226750436,0,4.226750436,105.6687609,105.6687609,,,12.43414634,,N,HIDED,HIDED
