Landcovertype,Plot,Hill_Side,Lat_ID,Long_ID,pH_field,Cumulative_AGB_Plot_Ha,Cumulative_AGCarbon_Plot_Ha,SOC_t_ha,Total_Csystem,AGC_Proportion,BelowGroundC_Proportion,Average_AGCProportion,STD_AverageAGC,Average_SOCProportion,STD_AverageSOC,SOC_Perc,SOCStock(tC_ha),TN(%),TN_Stock,AP(mg_kg),AP(%),AP_Stock,C_N_Ratio,C_AP_Ratio
Grassland,G1SB,S,HIDED,HIDED,5.7,0,0,51.76901077,51.76901077,0,100,4.6,9.1,95.4,9.1,5.502860928,51.76901077,0.151,1.421,13.22,0.00132,0.01244,36.44,4162.53
Grassland,G2NB,N,HIDED,HIDED,6.47,0,0,39.77284774,39.77284774,0,100,NA,NA,NA,NA,4.227711647,39.77284774,0.036,0.339,5.45,0.00055,0.00513,117.44,7757.27
Grassland,G3SB,S,HIDED,HIDED,5,16.07798495,7.556652927,33.93988068,41.49653361,18.2103233,81.7896767,NA,NA,NA,NA,3.607688084,33.93988068,0.246,2.314,5.93,0.00059,0.00558,14.67,6083.79
Grassland,G4NB,N,HIDED,HIDED,5.4,0,0,37.27208849,37.27208849,0,100,NA,NA,NA,NA,3.961889872,37.27208849,0.285,2.681,4.88,0.00049,0.00459,13.9,8118.63
2 years old,E1SB,S,HIDED,HIDED,5.5,0.125085649,0.058790255,35.08392416,35.14271441,0.167290023,99.83270998,0.9,0.9,99.1,0.9,3.729295819,35.08392416,0.249,2.343,4.4,0.00044,0.00414,14.98,8475.67
2 years old,E2NB,N,HIDED,HIDED,6.03,1.279100098,0.601177046,38.71508046,39.31625751,1.52908004,98.47091996,NA,NA,NA,NA,4.115274764,38.71508046,0.297,2.794,6.4,0.00064,0.00602,13.86,6430.12
2 years old,E3SB,S,HIDED,HIDED,6.27,0,0,38.64750608,38.64750608,0,100,NA,NA,NA,NA,4.108091849,38.64750608,0.291,2.738,7.12,0.00071,0.0067,14.12,5769.79
2 years old,E4NB,N,HIDED,HIDED,5.07,2.123165433,0.997887754,55.54221765,56.5401054,1.764920222,98.23507978,NA,NA,NA,NA,5.903939341,55.54221765,0.285,2.681,6.13,0.00061,0.00577,20.72,9631.22
10 years old,I1SB,S,HIDED,HIDED,6.13,181.3386738,85.22917669,56.13215152,141.3613282,60.29172035,39.70827965,60.2,2.9,39.8,2.9,5.966647204,56.13215152,0.344,3.236,8.04,0.0008,0.00756,17.34,7421.2
10 years old,I2NB,N,HIDED,HIDED,5.57,168.1649947,79.03754751,60.46346805,139.5010156,56.65732769,43.34267231,NA,NA,NA,NA,6.42705068,60.46346805,0.418,3.932,12.02,0.0012,0.01131,15.38,5346.96
10 years old,I3SB,S,HIDED,HIDED,5.67,165.4122369,77.74375134,51.56235652,129.3061079,60.12380438,39.87619562,NA,NA,NA,NA,5.480894319,51.56235652,0.305,2.869,7.62,0.00076,0.00717,17.97,7192.77
10 years old,I4NB,N,HIDED,HIDED,6.4,237.4778307,111.6145804,63.37863605,174.9932165,63.78223263,36.21776737,NA,NA,NA,NA,6.736922626,63.37863605,0.48,4.516,11.83,0.00118,0.01113,14.04,5694.78
24 years old,O1SB,S,HIDED,HIDED,6.83,342.7704062,161.1020909,68.72550765,229.8275986,70.09693001,29.90306999,54.4,11.8,45.6,11.8,7.305275978,68.72550765,0.329,3.095,21.38,0.00214,0.02011,22.2,3416.87
24 years old,O2NB,N,HIDED,HIDED,6.23,110.0544024,51.72556913,62.25823332,113.9838024,45.37975398,54.62024602,NA,NA,NA,NA,6.617827817,62.25823332,0.501,4.713,5.92,0.00059,0.00557,13.21,11178.76
24 years old,O3SB,S,HIDED,HIDED,6.27,157.0468503,73.81201964,55.7756426,129.5876622,56.9591413,43.0408587,NA,NA,NA,NA,5.928751579,55.7756426,0.365,3.434,14.72,0.00147,0.01385,16.24,4027.68
24 years old,O4NB,N,HIDED,HIDED,5.03,104.0469174,48.90205118,59.56777923,108.4698304,45.08355088,54.91644912,NA,NA,NA,NA,6.331842158,59.56777923,0.427,4.017,9.49,0.00095,0.00893,14.83,6672.12
Remnant,R1SB,S,HIDED,HIDED,6,191.4267477,89.97057142,62.40107835,152.3716498,59.04679221,40.95320779,44,17.9,56,17.9,6.633011734,62.40107835,0.415,3.904,13.71,0.00137,0.0129,15.98,4838.08
Remnant,R2NB,N,HIDED,HIDED,5.27,31.09435243,14.61434564,63.51237866,78.1267243,18.70594956,81.29405044,NA,NA,NA,NA,6.751138987,63.51237866,0.469,4.412,11.51,0.00115,0.01083,14.39,5865.46
Remnant,R3SB,S,HIDED,HIDED,6.57,144.8193776,68.06510747,59.3360729,127.4011804,53.425806,46.574194,NA,NA,NA,NA,6.307212603,59.3360729,0.374,3.518,12.36,0.00124,0.01163,16.86,5102.92
Remnant,R4NB,N,HIDED,HIDED,5.43,105.6687609,49.66431762,60.72136886,110.3856865,44.99162818,55.00837182,NA,NA,NA,NA,6.454464615,60.72136886,0.374,3.518,15.83,0.00158,0.01489,17.26,4077.36
