,Species,Native,Landcovertype,Contributions
Unknown,Unknown,NA,Grassland,0
Acacia mangium,Acacia mangium,E,Grassland,0
Cocos nucifera,Cocos nucifera,N,Grassland,100
Acacia auriculiformis,Acacia auriculiformis,E,Grassland,0
Mallotus mollissimus ,Mallotus mollissimus ,N,Grassland,0
Musa spp.,Musa spp.,N,Grassland,0
Trema orientalis,Trema orientalis,N,Grassland,0
Homalanthus populneus,Homalanthus populneus,N,Grassland,0
Ficus nota ,Ficus nota ,N,Grassland,0
Macaranga tanarius (Linn.),Macaranga tanarius (Linn.),N,Grassland,0
Radermachera pinnata,Radermachera pinnata,N,Grassland,0
Artocarpus blancoi,Artocarpus blancoi,N,Grassland,0
Hibiscus tiliaceus,Hibiscus tiliaceus,N,Grassland,0
Ficus congesta,Ficus congesta,E,Grassland,0
Ficus heteropoda,Ficus heteropoda,N,Grassland,0
Artocarpus nitidus (A. lamellosus) ,Artocarpus nitidus (A. lamellosus) ,N,Grassland,0
Gmelina Arborea,Gmelina Arborea,E,Grassland,0
Pterocymbium tinctorium,Pterocymbium tinctorium,E,Grassland,0
Commersonia bartramina (L.) Merr.,Commersonia bartramina (L.) Merr.,N,Grassland,0
Ficus latsoni,Ficus latsoni,N,Grassland,0
Leucyosyke capitellata,Leucyosyke capitellata,N,Grassland,0
Dendrocnide meyeniana,Dendrocnide meyeniana,N,Grassland,0
Pipturus arborescens,Pipturus arborescens,N,Grassland,0
Psydrax dicoccos Gaertn.,Psydrax dicoccos Gaertn.,E,Grassland,0
Vitex quinate,Vitex quinate,N,Grassland,0
Alstonia scholaris,Alstonia scholaris,N,Grassland,0
Breynia vitis-idaea,Breynia vitis-idaea,N,Grassland,0
Leucaena leucocephala,Leucaena leucocephala,E,Grassland,0
Ficus pseudopalma,Ficus pseudopalma,N,Grassland,0
Myristica philippinensis,Myristica philippinensis,N,Grassland,0
Sindora Supa,Sindora Supa,N,Grassland,0
Cinnamomum mercadoi,Cinnamomum mercadoi,N,Grassland,0
Caryota rumphiana,Caryota rumphiana,E,Grassland,0
Lithocarpus celebicus,Lithocarpus celebicus,N,Grassland,0
Diplodiscus paniculatus,Diplodiscus paniculatus,N,Grassland,0
Diospyros blancoiA. DC.,Diospyros blancoiA. DC.,N,Grassland,0
Shorea contorta,Shorea contorta,N,Grassland,0
Ficus variegata,Ficus variegata,E,Grassland,0
Calophyllum blancoi,Calophyllum blancoi,N,Grassland,0
Morinda citrifolia,Morinda citrifolia,E,Grassland,0
Glochidion camiguinense ,Glochidion camiguinense ,N,Grassland,0
Polyscias nodosa ,Polyscias nodosa ,N,Grassland,0
Cratoxylum sumatranum,Cratoxylum sumatranum,N,Grassland,0
Angiopteris evecta ,Angiopteris evecta ,E,Grassland,0
Fagrea racemosa ,Fagrea racemosa ,E,Grassland,0
Mallotus philippensis,Mallotus philippensis,N,Grassland,0
Garcinia ituman,Garcinia ituman,N,Grassland,0
Ficus balete,Ficus balete,N,Grassland,0
Leea aculeata,Leea aculeata,N,Grassland,0
Ficus ulmifolia,Ficus ulmifolia,N,Grassland,0
Calamus rotang,Calamus rotang,E,Grassland,0
Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,E,Grassland,0
Flueggea flexuosa,Flueggea flexuosa,N,Grassland,0
Sandoricum vidalii ,Sandoricum vidalii ,N,Grassland,0
Syzigium huchinsonii,Syzigium huchinsonii,N,Grassland,0
Cananga odorata,Cananga odorata,N,Grassland,0
,Unknown,NA,2 years old,0
,Acacia mangium,E,2 years old,100
,Cocos nucifera,N,2 years old,0
,Acacia auriculiformis,E,2 years old,0
,Mallotus mollissimus ,N,2 years old,0
,Musa spp.,N,2 years old,0
,Trema orientalis,N,2 years old,0
,Homalanthus populneus,N,2 years old,0
,Ficus nota ,N,2 years old,0
,Macaranga tanarius (Linn.),N,2 years old,0
,Radermachera pinnata,N,2 years old,0
,Artocarpus blancoi,N,2 years old,0
,Hibiscus tiliaceus,N,2 years old,0
,Ficus congesta,E,2 years old,0
,Ficus heteropoda,N,2 years old,0
,Artocarpus nitidus (A. lamellosus) ,N,2 years old,0
,Gmelina Arborea,E,2 years old,0
,Pterocymbium tinctorium,E,2 years old,0
,Commersonia bartramina (L.) Merr.,N,2 years old,0
,Ficus latsoni,N,2 years old,0
,Leucyosyke capitellata,N,2 years old,0
,Dendrocnide meyeniana,N,2 years old,0
,Pipturus arborescens,N,2 years old,0
,Psydrax dicoccos Gaertn.,E,2 years old,0
,Vitex quinate,N,2 years old,0
,Alstonia scholaris,N,2 years old,0
,Breynia vitis-idaea,N,2 years old,0
,Leucaena leucocephala,E,2 years old,0
,Ficus pseudopalma,N,2 years old,0
,Myristica philippinensis,N,2 years old,0
,Sindora Supa,N,2 years old,0
,Cinnamomum mercadoi,N,2 years old,0
,Caryota rumphiana,E,2 years old,0
,Lithocarpus celebicus,N,2 years old,0
,Diplodiscus paniculatus,N,2 years old,0
,Diospyros blancoiA. DC.,N,2 years old,0
,Shorea contorta,N,2 years old,0
,Ficus variegata,E,2 years old,0
,Calophyllum blancoi,N,2 years old,0
,Morinda citrifolia,E,2 years old,0
,Glochidion camiguinense ,N,2 years old,0
,Polyscias nodosa ,N,2 years old,0
,Cratoxylum sumatranum,N,2 years old,0
,Angiopteris evecta ,E,2 years old,0
,Fagrea racemosa ,E,2 years old,0
,Mallotus philippensis,N,2 years old,0
,Garcinia ituman,N,2 years old,0
,Ficus balete,N,2 years old,0
,Leea aculeata,N,2 years old,0
,Ficus ulmifolia,N,2 years old,0
,Calamus rotang,E,2 years old,0
,Tabernaemontana pandacaqui,E,2 years old,0
,Flueggea flexuosa,N,2 years old,0
,Sandoricum vidalii ,N,2 years old,0
,Syzigium huchinsonii,N,2 years old,0
,Cananga odorata,N,2 years old,0
,Unknown,NA,2 years old,0
,Acacia mangium,E,2 years old,100
,Cocos nucifera,N,2 years old,0
,Acacia auriculiformis,E,2 years old,0
,Mallotus mollissimus ,N,2 years old,0
,Musa spp.,N,2 years old,0
,Trema orientalis,N,2 years old,0
,Homalanthus populneus,N,2 years old,0
,Ficus nota ,N,2 years old,0
,Macaranga tanarius (Linn.),N,2 years old,0
,Radermachera pinnata,N,2 years old,0
,Artocarpus blancoi,N,2 years old,0
,Hibiscus tiliaceus,N,2 years old,0
,Ficus congesta,E,2 years old,0
,Ficus heteropoda,N,2 years old,0
,Artocarpus nitidus (A. lamellosus) ,N,2 years old,0
,Gmelina Arborea,E,2 years old,0
,Pterocymbium tinctorium,E,2 years old,0
,Commersonia bartramina (L.) Merr.,N,2 years old,0
,Ficus latsoni,N,2 years old,0
,Leucyosyke capitellata,N,2 years old,0
,Dendrocnide meyeniana,N,2 years old,0
,Pipturus arborescens,N,2 years old,0
,Psydrax dicoccos Gaertn.,E,2 years old,0
,Vitex quinate,N,2 years old,0
,Alstonia scholaris,N,2 years old,0
,Breynia vitis-idaea,N,2 years old,0
,Leucaena leucocephala,E,2 years old,0
,Ficus pseudopalma,N,2 years old,0
,Myristica philippinensis,N,2 years old,0
,Sindora Supa,N,2 years old,0
,Cinnamomum mercadoi,N,2 years old,0
,Caryota rumphiana,E,2 years old,0
,Lithocarpus celebicus,N,2 years old,0
,Diplodiscus paniculatus,N,2 years old,0
,Diospyros blancoiA. DC.,N,2 years old,0
,Shorea contorta,N,2 years old,0
,Ficus variegata,E,2 years old,0
,Calophyllum blancoi,N,2 years old,0
,Morinda citrifolia,E,2 years old,0
,Glochidion camiguinense ,N,2 years old,0
,Polyscias nodosa ,N,2 years old,0
,Cratoxylum sumatranum,N,2 years old,0
,Angiopteris evecta ,E,2 years old,0
,Fagrea racemosa ,E,2 years old,0
,Mallotus philippensis,N,2 years old,0
,Garcinia ituman,N,2 years old,0
,Ficus balete,N,2 years old,0
,Leea aculeata,N,2 years old,0
,Ficus ulmifolia,N,2 years old,0
,Calamus rotang,E,2 years old,0
,Tabernaemontana pandacaqui,E,2 years old,0
,Flueggea flexuosa,N,2 years old,0
,Sandoricum vidalii ,N,2 years old,0
,Syzigium huchinsonii,N,2 years old,0
,Cananga odorata,N,2 years old,0
,Unknown,NA,2 years old,0
,Acacia mangium,E,2 years old,37.26325841
,Cocos nucifera,N,2 years old,54.24551314
,Acacia auriculiformis,E,2 years old,8.491228464
,Mallotus mollissimus ,N,2 years old,0
,Musa spp.,N,2 years old,0
,Trema orientalis,N,2 years old,0
,Homalanthus populneus,N,2 years old,0
,Ficus nota ,N,2 years old,0
,Macaranga tanarius (Linn.),N,2 years old,0
,Radermachera pinnata,N,2 years old,0
,Artocarpus blancoi,N,2 years old,0
,Hibiscus tiliaceus,N,2 years old,0
,Ficus congesta,E,2 years old,0
,Ficus heteropoda,N,2 years old,0
,Artocarpus nitidus (A. lamellosus) ,N,2 years old,0
,Gmelina Arborea,E,2 years old,0
,Pterocymbium tinctorium,E,2 years old,0
,Commersonia bartramina (L.) Merr.,N,2 years old,0
,Ficus latsoni,N,2 years old,0
,Leucyosyke capitellata,N,2 years old,0
,Dendrocnide meyeniana,N,2 years old,0
,Pipturus arborescens,N,2 years old,0
,Psydrax dicoccos Gaertn.,E,2 years old,0
,Vitex quinate,N,2 years old,0
,Alstonia scholaris,N,2 years old,0
,Breynia vitis-idaea,N,2 years old,0
,Leucaena leucocephala,E,2 years old,0
,Ficus pseudopalma,N,2 years old,0
,Myristica philippinensis,N,2 years old,0
,Sindora Supa,N,2 years old,0
,Cinnamomum mercadoi,N,2 years old,0
,Caryota rumphiana,E,2 years old,0
,Lithocarpus celebicus,N,2 years old,0
,Diplodiscus paniculatus,N,2 years old,0
,Diospyros blancoiA. DC.,N,2 years old,0
,Shorea contorta,N,2 years old,0
,Ficus variegata,E,2 years old,0
,Calophyllum blancoi,N,2 years old,0
,Morinda citrifolia,E,2 years old,0
,Glochidion camiguinense ,N,2 years old,0
,Polyscias nodosa ,N,2 years old,0
,Cratoxylum sumatranum,N,2 years old,0
,Angiopteris evecta ,E,2 years old,0
,Fagrea racemosa ,E,2 years old,0
,Mallotus philippensis,N,2 years old,0
,Garcinia ituman,N,2 years old,0
,Ficus balete,N,2 years old,0
,Leea aculeata,N,2 years old,0
,Ficus ulmifolia,N,2 years old,0
,Calamus rotang,E,2 years old,0
