Sample__ID,Landcover,Hill__side,Date,Time,Scientific__name,Common_name_species,DBH (cm),Average_DBH_plot,STD_DBH_Plot,Average_DBH_Landcovertype,STD_DBH_Landcover,Basal area cm2,Cumulative_Basal_Area_perPlot,Cumulative_Basal_Area_Hectar,Average_BasalArea_Per_Ha,STD_BasalArea,Height (m),Average_Height_Plot,Average_Height_Landcovertype,STD_Height,Native,AGB Chave 2014 Eq. 4 (kg),AGB Chave Eq. 2005,AGB_Total_individual,Carbon_Stock_individual (kg),Cumulative_AGB_Plot,Cumulative_AGB_Per_Ha,Average_Biomass,STD_AGB,Average_AGC,STD_AGC,Weather,Latitudine_field_data,Longitudine_field_data,SOC,Total__N,Available__P,Air__T,Air__humidity,Soil_T,Soil_h,Soil_pH,Grass__cover,Shrubs__cover,Tree__cover,Average_densiometer_per_landcovertype,Barangay,Elevation,Mean_elevation,pH_kit
G1SB,Grassland,S,9/09/2024,8:27,,,0,0,17.3,8.65,17.3,0,0,0,5877.307375,11754.61475,0,0,,,,0,0,0,0,0,0,4019.496238,8038.992475,1889.2,3778.3,Sunny,HIDED,HIDED,NA,NA,NA,32.2,69.6,30,47.66,5.7,90-100,0-20,0-20,2.86,HIDED,177,186.75,6.5
G2NB,Grassland,N,9/09/2024,9:18,,,0,0,0,,,0,0,0,,,0,0,,,,0,0,0,0,0,0,,,0,0,Sunny/Cloudy,HIDED,HIDED,NA,NA,NA,32.2,69.9,30.33,37.33,6.46,90-100,0-20,0-20,2.86,HIDED,184,,6
G3SB,Grassland,S,9/09/2024,12:53,Cocos nucifera,Coconut,34.6,34.6,0,,,940.36918,940.36918,23509.2295,,,20,20,,,N,643.1193979,870.526943,643.1193979,302.266117,643.1193979,16077.98495,,,0,0,Sunny/Cloudy,HIDED,HIDED,NA,NA,NA,33.9,70.1,31.66666667,77,5,90-100,0-20,0-20,2.86,HIDED,192,,6
G4NB,Grassland,N,9/09/2024,10:37,,,0,0,0,,,0,0,0,,,0,0,,,,0,0,0,0,0,0,,,0,0,Cloudy,HIDED,HIDED,NA,NA,NA,33.4,70.1,30.33,70,5.4,90-100,0-20,0-20,2.86,HIDED,194,,6.5
E1SB,2 years old,S,6/09/2024,12:35,Acacia mangium,Mangium,5.7,5.7,0,4.683333333,2.1,25.520895,25.520895,638.022375,2752.637469,2833.864441,4.8,4.8,4.966666667,5,E,5.003425976,8.032868148,5.003425976,2.351610209,5.003425976,125.0856494,881.8377951,1008.137449,414.5,473.8,Sunny,HIDED,HIDED,NA,NA,NA,36.5,52.9,32.33333333,67.33333333,5.5,90-100,0-20,0-20,10.27,HIDED,201,213.1428571,5
E2NB,2 years old,N,10/09/2024,9:43,Acacia mangium,Mangium,5.1,6.683333333,1.558738806,,,20.430855,220.057825,5501.445625,,,4.7,5.566666667,,,E,3.945052672,6.011488322,3.945052672,1.854174756,51.16400392,1279.100098,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.7,56.7,29.33333333,31,6.033333333,90-100,0-20,0-20,10.27,HIDED,176,,6
E2NB,2 years old,N,10/09/2024,9:43,Acacia mangium,Mangium,6.7,NA,NA,,,35.261095,,,,,5.2,,,,E,7.416954097,12.27294705,7.416954097,3.485968426,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.7,56.7,29.33333333,31,6.033333333,90-100,0-20,0-20,10.27,HIDED,176,,6
E2NB,2 years old,N,10/09/2024,9:43,Acacia mangium,Mangium,8.9,NA,NA,,,62.219455,,,,,6.1,,,,E,15.08688309,25.98247017,15.08688309,7.090835052,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.7,56.7,29.33333333,31,6.033333333,90-100,0-20,0-20,10.27,HIDED,176,,6
E2NB,2 years old,N,10/09/2024,9:43,Acacia mangium,Mangium,5.8,NA,NA,,,26.42422,,,,,5.2,,,,E,5.596790102,8.406520446,5.596790102,2.630491348,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.7,56.7,29.33333333,31,6.033333333,90-100,0-20,0-20,10.27,HIDED,176,,6
E2NB,2 years old,N,10/09/2024,9:43,Acacia mangium,Mangium,8.2,NA,NA,,,52.81702,,,,,6.6,,,,E,13.88506234,20.91560664,13.88506234,6.5259793,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.7,56.7,29.33333333,31,6.033333333,90-100,0-20,0-20,10.27,HIDED,176,,6
