Sample_ID,Landcover,Hill_side,Lat_ID,Long_ID,SOC_Perc,mcf,pH_lab,pH_field,Bulk Density (g_cm3),Soil depth(m),SOCStock(tC_ha),SOC_Average,SOC_Stock_STD,TN(%),TN_STD,TN_Stock,AP(mg_kg),,AP(%),AP_Stock,C_N_Ratio,C_AP_Ratio,Tree_species,Tree_n_per_plot,Average_treeSpecies,Average_SOC(t_ha),Air__T,Air__humidity,Soil_T,Soil_h,Soil_pH,Grass__cover,Shrubs__cover,Tree__cover,Densiometer__converted,Average_densiometer_per_landcovertype,Elevation,Average DBH_Landcovertype,Average_AGB_Landcovertype,Average_AGB_Proportion,Average_SOC_Proportion
G1SA,Grassland,S,11.593585,124.547437,4.894497529,1.001,5.67,6.53,0.940765385,0.1,46.0457385,40.5,5,0.332,0.1,3.123,8.13,2.5,0.00081,0.00765,14.74,6020.29,NA,NA,0,40.54946849,35.9,62.7,32.33333333,31,6.533333333,90-100,0-20,0-20,,2.86,173,8.65,16.07798495,4.552580824,95.44741918
G1SB,Grassland,S,11.593693,124.547339,5.502860928,1.001,5.52,5.7,0.940765385,0.1,51.76901077,,,0.151,,1.421,13.22,,0.00132,0.01244,36.44,4162.53,0,0,0,NA,32.2,69.6,30,47.66666667,5.7,90-100,0-20,0-20,,2.86,177,8.65,16.07798495,4.552580824,95.44741918
G1SC,Grassland,S,11.593794,124.547233,4.96347882,1.001,5.32,5.93,0.940765385,0.1,46.69469061,,,0.145,,1.364,10.88,,0.00109,0.01024,34.23,4562.02,NA,NA,0,NA,32,68,30,31.33333333,5.933333333,90-100,0-20,0-20,,2.86,177,8.65,16.07798495,4.552580824,95.44741918
G1SD,Grassland,S,11.59388,124.54726,5.038468061,1.001,5.46,5.37,0.940765385,0.1,47.40016343,,,0.095,,0.894,7.28,,0.00073,0.00685,53.04,6920.97,NA,NA,0,NA,30.8,70.2,27.66666667,76.33333333,5.366666667,90-100,0-20,-,,2.86,177,8.65,16.07798495,4.552580824,95.44741918
G2NA,Grassland,N,11.594071,124.547034,4.222135117,1.001,5.3,5.17,0.940765385,0.1,39.72038567,,,0.039,,0.367,8.04,,0.0008,0.00756,108.26,5251.41,NA,NA,0,NA,32.6,69.1,30.66666667,62,5.166666667,90-100,0-20,0-20,,2.86,184,8.65,16.07798495,4.552580824,95.44741918
G2NB,Grassland,N,11.594198,124.547068,4.227711647,1.001,5.28,6.47,0.940765385,0.1,39.77284774,,,0.036,,0.339,5.45,,0.00055,0.00513,117.44,7757.27,0,0,0,NA,32.2,69.9,30.33333333,37.33333333,6.466666667,90-100,0-20,0-20,,2.86,184,8.65,16.07798495,4.552580824,95.44741918
G2NC,Grassland,N,11.594335,124.547168,4.480242334,1.001,5.32,5.43,0.940765385,0.1,42.14856903,,,0.059,,0.555,5.81,,0.00058,0.00547,75.94,7711.26,NA,NA,0,NA,37.8,59.4,30.33333333,62.33333333,5.433333333,90-100,0-20,0-20,,2.86,184,8.65,16.07798495,4.552580824,95.44741918
G2ND,Grassland,N,11.594467,124.547109,4.100980051,1.001,5.34,4.7,0.940765385,0.1,38.58060075,,,0.056,,0.527,6.13,,0.00061,0.00577,73.23,6690.02,NA,NA,0,NA,35.5,61.4,30.33333333,79.66666667,4.7,90-100,0-20,0-20,,2.86,189,8.65,16.07798495,4.552580824,95.44741918
G3SA,Grassland,S,11.594824,124.546613,4.021771954,1.001,5.21,5.4,0.940765385,0.1,37.83543839,,,0.267,,2.512,7.05,,0.00071,0.00663,15.06,5704.64,NA,NA,1,NA,33.8,69.4,33,48.66666667,5.4,90-100,0-20,0-20,0,2.86,197,8.65,16.07798495,4.552580824,95.44741918
G3SB,Grassland,S,11.595006,124.546517,3.607688084,1.001,5.3,5,0.940765385,0.1,33.93988068,,,0.246,,2.314,5.93,,0.00059,0.00558,14.67,6083.79,1,1,1,NA,33.9,70.1,31.66666667,77,5,90-100,0-20,0-20,2.08,2.86,192,8.65,16.07798495,4.552580824,95.44741918
G3SC,Grassland,S,11.595144,124.546472,3.821408791,1.001,5.35,5.83,0.940765385,0.1,35.95049111,,,0.267,,2.512,4.72,,0.00047,0.00444,14.31,8096.21,NA,NA,1,NA,36,60.2,30.66666667,41.33333333,5.833333333,90-100,0-20,0-20,10.4,2.86,206,8.65,16.07798495,4.552580824,95.44741918
G3SD,Grassland,S,11.595228,124.546432,3.84812388,1.001,5.34,6.03,0.940765385,0.1,36.20181742,,,0.273,,2.568,4.95,,0.0005,0.00466,14.1,7773.99,NA,NA,1,NA,32.7,69.6,30.66666667,32,6.033333333,90-100,0-20,0-20,1.04,2.86,206,8.65,16.07798495,4.552580824,95.44741918
G4NA,Grassland,N,11.595101,124.546787,4.16870494,1.001,5.43,5.23,0.940765385,0.1,39.21773306,,,0.219,,2.06,7.31,,0.00073,0.00688,19.04,5702.74,NA,NA,0,NA,34.1,66.8,31,63.66666667,5.233333333,90-100,0-20,0-20,4.16,2.86,194,8.65,16.07798495,4.552580824,95.44741918
G4NB,Grassland,N,11.595229,124.546754,3.961889872,1.001,5.52,5.4,0.940765385,0.1,37.27208849,,,0.285,,2.681,4.88,,0.00049,0.00459,13.9,8118.63,0,0,0,NA,33.4,70.1,30.33333333,70,5.4,90-100,0-20,0-20,0,2.86,194,8.65,16.07798495,4.552580824,95.44741918
G4NC,Grassland,N,11.595353,124.546662,4.30745818,1.001,5.5,5.63,0.940765385,0.1,40.52307551,,,0.282,,2.653,4.63,,0.00046,0.00436,15.27,9303.37,NA,NA,0,NA,37.5,63.2,34,53,5.633333333,90-100,0-20,0-20,5.2,2.86,194,8.65,16.07798495,4.552580824,95.44741918
G4ND,Grassland,N,11.595384,124.546618,3.796798352,1.001,5.42,5.03,0.940765385,0.1,35.71896462,,,0.234,,2.201,3.77,,0.00038,0.00355,16.23,10071.08,NA,NA,0,NA,40.7,50.3,33.33333333,79,5.033333333,90-100,0-20,0-20,0,2.86,190,8.65,16.07798495,4.552580824,95.44741918
E1SA,2 years old,S,11.597685,124.550138,3.75462107,1.001,5.63,5.6,0.940765385,0.1,35.32217535,44,8.3,0.276,0.1,2.597,6.69,2.3,0.00067,0.00629,13.6,5612.29,NA,NA,1,44.04080875,34.9,55.7,29.33333333,66,5.6,90-100,0-20,0-20,,10.27,201,4.683333333,0.881837795,0.865322571,99.13467743
E1SB,2 years old,S,11.59773,124.550039,3.729295819,1.001,5.45,5.5,0.940765385,0.1,35.08392416,,,0.249,,2.343,4.4,,0.00044,0.00414,14.98,8475.67,1,1,1,NA,36.5,52.9,32.33333333,67.33333333,5.5,90-100,0-20,0-20,,10.27,201,4.683333333,0.881837795,0.865322571,99.13467743
E1SC,2 years old,S,11.597759,124.549911,3.802396807,1.001,5.48,5.23,0.940765385,0.1,35.77163295,,,0.276,,2.597,6.51,,0.00065,0.00612,13.78,5840.86,NA,NA,1,NA,35.3,60.5,31.66666667,60.33333333,5.233333333,90-100,0-20,0-20,,10.27,201,4.683333333,0.881837795,0.865322571,99.13467743
E1SD,2 years old,S,11.597696,124.549797,3.98847205,1.001,5.29,5.1,0.940765385,0.1,37.52216442,,,0.546,,5.137,6.68,,0.00067,0.00628,7.3,5970.77,NA,NA,1,NA,39.4,51.9,31.33333333,77.33333333,5.1,90-100,0-20,0-20,,10.27,205,4.683333333,0.881837795,0.865322571,99.13467743
E2NA,2 years old,N,11.597421,124.55102,4.573279955,1.001,5.2,5.43,0.940765385,0.1,43.02383476,,,0.302,,2.841,12.11,,0.00121,0.01139,15.14,3776.45,NA,NA,6,NA,34.2,62.6,30,47.66666667,5.433333333,90-100,0-20,0-20,0,10.27,167,4.683333333,0.881837795,0.865322571,99.13467743
