Sample__ID,Landcover,Hill_side,Scientific__name,Common_name_species,Native,Lat_ID,Long_ID
G1SB,Grassland,S,NA,NA,NA,NA,NA
G2NB,Grassland,N,NA,NA,NA,NA,NA
G3SB,Grassland,S,Cocos nucifera,Coconut,N,11.595006,124.546517
G4NB,Grassland,N,NA,NA,NA,NA,NA
E1SB,2 years old,S,Acacia mangium,Mangium,E,11.59773,124.550039
E2NB,2 years old,N,Acacia mangium,Mangium,E,11.597496,124.550941
E2NB,2 years old,N,Acacia mangium,Mangium,E,11.597496,124.550941
E2NB,2 years old,N,Acacia mangium,Mangium,E,11.597496,124.550941
E2NB,2 years old,N,Acacia mangium,Mangium,E,11.597496,124.550941
E2NB,2 years old,N,Acacia mangium,Mangium,E,11.597496,124.550941
E2NB,2 years old,N,Acacia mangium,Mangium,E,11.597496,124.550941
E3SB,2 years old,S,NA,NA,NA,NA,NA
E4NB,2 years old,N,Cocos nucifera,Coconut,N,11.598743,124.548431
E4NB,2 years old,N,Acacia mangium,Mangium,E,11.598743,124.548431
E4NB,2 years old,N,Acacia auriculiformis,Aure,E,11.598743,124.548431
E4NB,2 years old,N,Acacia mangium,Mangium,E,11.598743,124.548431
E4NB,2 years old,N,Acacia mangium,Mangium,E,11.598743,124.548431
E4NB,2 years old,N,Acacia mangium,Mangium,E,11.598743,124.548431
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Cocos nucifera,Coconut,N,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Mallotus mollissimus ,Hanom-o,N,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Trema orientalis,Anabiong,N,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,E,11.590785,124.5368226
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Homalanthus populneus,Balanti,N,11.591253,124.535819
I2NB,10 years old,N,Ficus nota ,Tibig,N,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,N,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Ficus nota ,Tibig,N,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,N,11.591253,124.535819
I2NB,10 years old,N,Radermachera pinnata,Banai-banai,N,11.591253,124.535819
I2NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,N,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Artocarpus blancoi,Antipolo,N,11.591253,124.535819
I2NB,10 years old,N,Ficus nota ,Tibig,N,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,E,11.591253,124.535819
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,N,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,E,11.591689,124.535514
