Sample__ID,Landcover,Hill__side,Scientific__name,Common_name_species,DBH (cm),Height (m),Native,Lat_ID,Long_ID
G1SB,Grassland,S,NA,NA,0,NA,NA,11.593693,124.547339
G2NB,Grassland,N,NA,NA,0,NA,NA,11.594198,124.547068
G3SB,Grassland,S,Cocos nucifera,Coconut,34.6,20,N,11.595006,124.546517
G4NB,Grassland,N,NA,NA,0,NA,NA,11.595229,124.546754
E2NB,2 years old,N,Acacia mangium,Mangium,6.7,5.2,E,11.597496,124.550941
E2NB,2 years old,N,Acacia mangium,Mangium,8.9,6.1,E,11.597496,124.550941
E2NB,2 years old,N,Acacia mangium,Mangium,5.8,5.2,E,11.597496,124.550941
E2NB,2 years old,N,Acacia mangium,Mangium,8.2,6.6,E,11.597496,124.550941
E2NB,2 years old,N,Acacia mangium,Mangium,5.4,5.6,E,11.597496,124.550941
E3SB,2 years old,S,NA,NA,0,NA,NA,11.598527,124.548388
E4NB,2 years old,N,Cocos nucifera,Coconut,8.4,22.8,N,11.598743,124.548431
E4NB,2 years old,N,Acacia mangium,Mangium,6.7,7.5,E,11.598743,124.548431
E4NB,2 years old,N,Acacia auriculiformis,Aure,6.1,6.1,E,11.598743,124.548431
E4NB,2 years old,N,Acacia mangium,Mangium,5.9,7,E,11.598743,124.548431
E4NB,2 years old,N,Acacia mangium,Mangium,5.7,8.4,E,11.598743,124.548431
E4NB,2 years old,N,Acacia mangium,Mangium,5.3,5.2,E,11.598743,124.548431
I1SB,10 years old,S,Acacia mangium,Mangium,22.8,12.4,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,16.2,NA,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,23.7,16.1,E,11.590785,124.5368226
I1SB,10 years old,S,Cocos nucifera,Coconut,25,NA,N,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,30.7,NA,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,27.6,NA,E,11.590785,124.5368226
I1SB,10 years old,S,Mallotus mollissimus ,Hanom-o,7.4,NA,N,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,17,14.9,E,11.590785,124.5368226
I1SB,10 years old,S,Trema orientalis,Anabiong,5,NA,N,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,28.7,NA,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,43.3,18.4,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,23.9,NA,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,36.5,NA,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,21.6,NA,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,19,15.7,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,22.7,NA,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,33.6,NA,E,11.590785,124.5368226
I1SB,10 years old,S,Acacia mangium,Mangium,27.8,18.1,E,11.590785,124.5368226
I2NB,10 years old,N,Acacia mangium,Mangium,29.3,23.7,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,16.2,16.1,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,33.3,23.4,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,24.6,22.1,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,37.5,21.5,E,11.591253,124.535819
I2NB,10 years old,N,Homalanthus populneus,Balanti,6.4,NA,N,11.591253,124.535819
I2NB,10 years old,N,Ficus nota ,Tibig,5.5,NA,N,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,32.6,19.2,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,20.9,NA,E,11.591253,124.535819
I2NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,6.3,NA,N,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,10.3,NA,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,28.1,NA,E,11.591253,124.535819
I2NB,10 years old,N,Ficus nota ,Tibig,10.9,NA,N,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,22,NA,E,11.591253,124.535819
I2NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,8.1,NA,N,11.591253,124.535819
I2NB,10 years old,N,Radermachera pinnata,Banai-banai,11.2,NA,N,11.591253,124.535819
I2NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,6.8,NA,N,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,29.4,NA,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,25.4,NA,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,31.9,24.1,E,11.591253,124.535819
I2NB,10 years old,N,Artocarpus blancoi,Antipolo,5.4,NA,N,11.591253,124.535819
I2NB,10 years old,N,Ficus nota ,Tibig,5.1,NA,N,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,23.4,NA,E,11.591253,124.535819
I2NB,10 years old,N,Acacia mangium,Mangium,17.7,NA,E,11.591253,124.535819
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,14.2,NA,N,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,25.1,NA,E,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,19.7,NA,E,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,13.3,NA,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,11.7,NA,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,14.3,NA,N,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,18.3,21.6,E,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,27.5,26.3,E,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,35,26.1,E,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,35.5,24.6,E,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,5.6,NA,N,11.591689,124.535514
I3SB,10 years old,S,Cocos nucifera,Coconut,30.4,21.7,N,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,25.5,NA,E,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,20.2,NA,E,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,35.4,NA,E,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,5.3,NA,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,10.9,NA,N,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,9.4,NA,E,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,5.2,NA,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,6.4,NA,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,5.4,NA,N,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,17.3,NA,N,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,11.8,NA,N,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,16.2,NA,N,11.591689,124.535514
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,10.8,NA,N,11.591689,124.535514
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,6.3,NA,N,11.591689,124.535514
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,10.9,NA,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,9.4,NA,N,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,16.7,NA,N,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,22.5,24.1,E,11.591689,124.535514
I3SB,10 years old,S,Ficus congesta,Malatibig,9.3,NA,E,11.591689,124.535514
I4NB,10 years old,N,Homalanthus populneus?,Balanti,5.4,NA,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,16.4,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,37.1,21.2,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,38.5,23.5,E,11.59143,124.535482
I4NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,8.5,NA,N,11.59143,124.535482
I4NB,10 years old,N,Ficus nota ,Tibig,17.5,NA,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,38.8,20.4,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,36.3,25.9,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,34.4,NA,E,11.59143,124.535482
I4NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,12.7,NA,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,24.4,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,36.4,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,27,NA,E,11.59143,124.535482
I4NB,10 years old,N,Ficus nota ,Tibig,7,NA,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,21.2,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,20.5,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,27.7,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,28.4,22.3,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,21.1,NA,E,11.59143,124.535482
I4NB,10 years old,N,Ficus heteropoda,Alangas,13.4,NA,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,20.5,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,15.2,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,27.2,24.5,E,11.59143,124.535482
O1SB,24 years old,S,Acacia mangium,Mangium,58.6,20,E,11.59324,124.537684
O1SB,24 years old,S,Artocarpus nitidus (A. lamellosus) ,Kubi,6.2,NA,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,5.1,NA,E,11.59324,124.537684
O1SB,24 years old,S,Pterocymbium tinctorium,Taluto,15.1,NA,E,11.59324,124.537684
O1SB,24 years old,S,Ficus nota ,Tibig,6.4,NA,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,35.8,18.8,E,11.59324,124.537684
O1SB,24 years old,S,Commersonia bartramina (L.) Merr.,Suyapao,15.4,NA,N,11.59324,124.537684
O1SB,24 years old,S,Acacia mangium,Mangium,66,16.6,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,25.3,15.3,E,11.59324,124.537684
O1SB,24 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,13.2,NA,N,11.59324,124.537684
O1SB,24 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,8.2,NA,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,56.9,NA,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,8.4,NA,E,11.59324,124.537684
O1SB,24 years old,S,Acacia mangium,Mangium,44.3,NA,E,11.59324,124.537684
O1SB,24 years old,S,Acacia mangium,Mangium,78,21,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,9.7,NA,E,11.59324,124.537684
O1SB,24 years old,S,Homalanthus populneus,Balanti,6,NA,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,52.8,15.1,E,11.59324,124.537684
