Sample__ID,Landcover,Hill__side,Cumulative_Basal_Area_perPlot,Cumulative_Basal_Area_Hectar,Average_BasalArea_Per_Ha,STD basal area,Average_BasalArea_Per_Ha,STD basal area
G1SB,Grassland,S,0,0,5877.307375,11754.61475,0.6,1.2
G2NB,Grassland,N,0,0,,,0.0,0.0
G3SB,Grassland,S,940.36918,23509.2295,,,0.0,0.0
G4NB,Grassland,N,0,0,,,0.0,0.0
E1SB,2 years old,S,25.520895,638.022375,2752.637469,2833.864441,0.3,0.3
E2NB,2 years old,N,220.057825,5501.445625,,,0.0,0.0
E3SB,2 years old,S,0,0,,,0.0,0.0
E4NB,2 years old,N,194.843275,4871.081875,,,0.0,0.0
I1SB,10 years old,S,9338.550285,233463.7571,238743.0535,36492.37816,23.9,3.6
I2NB,10 years old,N,8664.575575,216614.3894,,,0.0,0.0
I3SB,10 years old,S,8522.588595,213064.7149,,,0.0,0.0
I4NB,10 years old,N,11673.17411,291829.3528,,,0.0,0.0
O1SB,24 years old,S,19560.81949,489020.4873,272978.0892,145838.1076,27.3,14.6
O2NB,24 years old,N,8682.38286,217059.5715,,,0.0,0.0
O3SB,24 years old,S,6742.896955,168572.4239,,,0.0,0.0
O4NB,24 years old,N,8690.39496,217259.874,,,0.0,0.0
R1SB,Remnant,S,12146.81836,303670.4589,194742.3108,87181.07269,19.5,8.7
R2NB,Remnant,N,3724.87242,93121.8105,,,0.0,0.0
R3SB,Remnant,S,8326.386405,208159.6601,,,0.0,0.0
R4NB,Remnant,N,6960.69254,174017.3135,,,0.0,0.0
