Sample__ID,Landcover,Hill_side,Scientific__name,Common_name_species,Native,Lat_ID,Long_ID
G1SB,Grassland,S,NA,NA,NA,HIDED,HIDED
G2NB,Grassland,N,NA,NA,NA,HIDED,HIDED
G3SB,Grassland,S,Cocos nucifera,Coconut,N,HIDED,HIDED
G4NB,Grassland,N,NA,NA,NA,HIDED,HIDED
E1SB,2 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
E2NB,2 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
E2NB,2 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
E2NB,2 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
E2NB,2 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
E2NB,2 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
E2NB,2 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
E3SB,2 years old,S,NA,NA,NA,HIDED,HIDED
E4NB,2 years old,N,Cocos nucifera,Coconut,N,HIDED,HIDED
E4NB,2 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
E4NB,2 years old,N,Acacia auriculiformis,Aure,E,HIDED,HIDED
E4NB,2 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
E4NB,2 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
E4NB,2 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Cocos nucifera,Coconut,N,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Trema orientalis,Anabiong,N,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I1SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
