Landcovertype,E1SB,E2NB,E4NB,I1SB,I2NB,I3SB,I4NB,O1SB,O2NB,O3SB,O4NB,R1SB,R2NB,R3SB,R4NB
Acacia mangium,1,6,4,15,15,11,17,4,0,20,1,0,0,2,0
Cocos nucifera,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2
Acacia auriculiformis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mallotus mollissimus ,0,0,0,1,0,0,0,0,0,5,5,0,0,0,0
Musa spp.,0,0,0,0,0,3,0,2,8,0,0,0,5,0,0
Trema orientalis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Homalanthus populneus,0,0,0,0,1,0,1,3,0,3,2,0,0,0,2
Ficus nota ,0,0,0,0,3,0,2,1,0,0,0,0,0,0,1
Macaranga tanarius (Linn.),0,0,0,0,3,10,2,0,13,1,5,0,0,3,4
Radermachera pinnata,0,0,0,0,1,0,0,0,0,3,0,1,3,0,2
Artocarpus blancoi,0,0,0,0,1,0,0,0,0,1,4,0,0,2,5
Hibiscus tiliaceus,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
Ficus congesta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Ficus heteropoda,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
Artocarpus nitidus (A. lamellosus) ,0,0,0,0,0,0,0,1,1,0,2,0,0,1,3
Gmelina Arborea,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0
Pterocymbium tinctorium,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Commersonia bartramina (L.) Merr.,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Ficus latsoni,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Leucyosyke capitellata,0,0,0,0,0,0,0,0,8,1,0,0,2,1,0
Dendrocnide meyeniana,0,0,0,0,0,0,0,0,4,0,0,0,6,0,1
Pipturus arborescens,0,0,0,0,0,0,0,0,4,0,1,1,13,0,0
Psydrax dicoccos Gaertn.,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
Vitex quinate,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0
Alstonia scholaris,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0
Breynia vitis-idaea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Leucaena leucocephala,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Ficus pseudopalma,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0
Myristica philippinensis,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Sindora Supa,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Cinnamomum mercadoi,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Caryota rumphiana,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Lithocarpus celebicus,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0
Diplodiscus paniculatus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Diospyros blancoiA. DC.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shorea contorta,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ficus variegata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Calophyllum blancoi,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Morinda citrifolia,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
Glochidion camiguinense ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Polyscias nodosa ,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5
Cratoxylum sumatranum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Angiopteris evecta ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fagrea racemosa ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Mallotus philippensis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Garcinia ituman,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ficus balete,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Leea aculeata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ficus ulmifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Calamus rotang,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Tabernaemontana pandacaqui,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Flueggea flexuosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sandoricum vidalii ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Syzigium huchinsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cananga odorata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
